Subsampling Type,Model,Value,AUC (training),AUC (test),accuracy (training),accuracy (test),average class accuracy (training),average class accuracy (test),f1 (training),f1 (test)
none,GLM,median,0.81,0.81,0.78,0.78,0.65,0.64,0.56,0.56
none,GLM,iqr,0.02,0.07,0.02,0.06,0.03,0.09,0.03,0.09
none,Lasso,median,0.81,0.80,0.78,0.78,0.63,0.63,0.55,0.55
none,Lasso,iqr,0.02,0.06,0.02,0.06,0.04,0.10,0.04,0.12
none,Elasticnet,median,0.81,0.79,0.78,0.78,0.65,0.64,0.57,0.56
none,Elasticnet,iqr,0.03,0.08,0.03,0.09,0.08,0.14,0.07,0.16
none,Catboost,median,0.86,0.81,0.81,0.77,0.69,0.60,0.62,0.53
none,Catboost,iqr,0.03,0.07,0.02,0.08,0.07,0.12,0.06,0.11
none,MLP,median,0.83,0.83,0.80,0.79,0.67,0.64,0.60,0.57
none,MLP,iqr,0.01,0.07,0.02,0.08,0.05,0.11,0.04,0.13
random,GLM,median,0.83,0.82,0.76,0.76,0.76,0.75,0.76,0.63
random,GLM,iqr,0.02,0.09,0.03,0.08,0.03,0.09,0.03,0.10
random,Lasso,median,0.83,0.82,0.74,0.75,0.74,0.74,0.75,0.63
random,Lasso,iqr,0.03,0.07,0.02,0.11,0.03,0.07,0.03,0.08
random,Elasticnet,median,0.82,0.79,0.74,0.73,0.74,0.71,0.74,0.60
random,Elasticnet,iqr,0.04,0.09,0.06,0.11,0.06,0.09,0.05,0.10
random,Catboost,median,0.85,0.81,0.78,0.75,0.78,0.74,0.78,0.62
random,Catboost,iqr,0.03,0.07,0.04,0.06,0.05,0.06,0.04,0.08
random,MLP,median,0.82,0.81,0.73,0.71,0.73,0.72,0.75,0.61
random,MLP,iqr,0.03,0.07,0.04,0.12,0.07,0.11,0.03,0.08
