,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.7104,1.09616,-0.63935,0.40999,0.53608,-0.05854,-0.34069
1,0.72711,1.04052,-0.46163,-0.46883,0.59029,-0.23959,0.06991
2,0.7673,1.4686,-0.84367,-0.26437,1.23579,0.05334,0.04383
3,0.65219,1.24253,-0.3205,-0.0061,0.93098,-0.41487,-0.30368
4,0.64713,0.99936,-0.64777,-0.25779,1.01842,-0.16978,-0.18612
5,0.82797,0.94472,-0.82477,0.72412,0.81157,-0.08793,-0.57907
6,0.54093,0.85542,-0.65787,0.08435,0.69167,-0.15618,-0.15668
7,0.6552,0.78744,-0.52272,-0.12787,1.11452,-0.23029,-0.13372
8,0.5517,1.06954,-0.76393,0.12474,0.43633,0.05143,0.58179
9,0.77765,1.06225,-0.91549,0.08394,0.05115,0.53295,-0.68429
10,0.62671,1.15733,-0.71913,0.40245,0.29713,0.16035,-0.25379
11,0.60173,0.91614,-0.89138,-0.79688,0.65638,0.26272,0.64396
12,0.82747,0.81691,-0.60694,0.13561,0.82165,-0.39617,0.32448
13,0.74176,0.57486,-0.63715,0.13757,0.43497,-0.25672,0.31262
14,0.84314,1.46673,-0.83135,0.09893,1.02429,-0.02419,0.56004
15,0.91808,0.93573,-1.0562,-0.35318,0.26346,0.40374,0.36087
16,0.64736,1.2732,-0.75073,0.52272,1.15069,-0.45038,0.29841
17,0.57689,0.95548,-0.79538,-0.2506,1.04195,0.04957,0.15382
18,1.05748,1.28636,-1.10106,0.05208,1.35822,-0.23903,0.39006
19,0.62534,1.20594,-0.86252,-0.44239,0.30427,0.33307,0.16993
20,0.36588,1.2579,-0.82785,0.40967,0.52885,0.00422,0.26537
21,0.82415,1.23105,-0.72508,-0.01391,0.74618,-0.14115,-0.21729
22,0.8979,1.19402,-0.68409,-0.53943,0.82583,-0.11185,0.7387
23,0.75349,0.73786,-0.9163,-0.62066,0.90442,0.07332,0.72632
24,0.83963,1.02619,-0.3672,-0.36471,1.07252,-0.51296,-0.24211
25,0.64165,0.78955,-0.72144,-0.01303,0.58296,0.14954,-0.02355
26,0.66626,1.00155,-0.98677,0.05616,0.37407,0.12269,0.62384
27,0.7823,1.06855,-0.57567,-0.11606,0.17181,-0.27433,0.53437
28,0.59614,1.58695,-0.99475,0.50067,0.91051,-0.12289,0.40081
29,0.67098,0.83313,-1.01012,0.07704,1.00992,-0.02723,0.25205
30,1.00541,1.24479,-0.52263,-0.35515,0.41718,0.35974,-0.31938
31,0.60886,1.31091,-0.65951,0.37271,0.4157,-0.15081,0.44771
32,0.61575,0.82685,-0.71841,-0.08058,0.58671,-0.0365,0.11483
33,0.639,0.81763,-0.68125,0.11095,0.48212,-0.04263,0.30235
34,0.68021,1.18629,-0.84183,-0.48104,0.51709,0.09202,0.30583
35,0.82527,0.86253,-0.47296,-0.03849,0.22312,-0.34413,0.80571
36,0.67878,1.34776,-0.67857,0.07554,0.70009,-0.27349,0.36579
37,0.84076,1.03257,-0.71325,-0.49854,0.07598,0.30166,0.15294
38,0.77597,1.07176,-0.64017,-0.04366,1.20081,-0.50192,0.02402
39,0.52492,1.14771,-0.84058,-0.2112,0.81832,0.07136,0.16996
40,0.86582,1.11401,-0.74518,-0.1021,0.41483,0.32687,-0.52341
41,0.72861,1.10821,-0.96831,-0.07591,0.86868,0.0331,0.51751
42,0.9007,0.55861,-0.8685,-0.19653,1.06796,0.20453,0.27848
43,0.62252,1.15337,-1.01457,0.27773,0.58466,0.16384,0.31356
44,0.60319,1.05944,-1.26839,-0.24711,1.06142,0.18578,0.8356
45,0.69339,1.57242,-0.48798,0.13758,0.88771,-0.26702,-0.52796
46,0.74517,0.91549,-0.58454,0.21173,0.22964,-0.26042,0.45484
47,0.59447,1.29464,-0.98253,0.09557,0.99067,0.00899,-0.07112
48,0.88025,0.87914,-0.79183,-0.74683,0.39392,0.32492,0.32453
49,0.6661,0.94416,-0.90381,-0.56398,1.46579,-0.30345,0.71949
