,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.36851,0.8477,-0.98723,0.0,0.0,-0.2215,0.0
1,0.33515,0.70253,-0.88837,0.0,0.0,-0.38227,0.0
2,0.41409,0.74186,-1.06403,-0.31411,0.0,-0.24166,0.0
3,0.34532,0.78236,-0.81017,0.0,0.0,-0.34414,0.0
4,0.46908,0.88093,-1.08234,-0.78354,0.58646,-0.50793,0.0
5,0.36599,0.80423,-1.10126,0.0,0.0,-0.19452,0.0
6,0.4675,0.75093,-1.19207,-0.24948,0.0,-0.26364,0.0
7,0.56593,0.77036,-1.06795,-0.39311,0.02633,-0.28274,0.0
8,0.51174,0.89899,-0.93777,-0.5074,0.25546,-0.37983,-0.0674
9,0.3495,0.66949,-1.02742,0.0,0.0,-0.17062,0.0
10,0.26758,0.68087,-0.8204,0.0,0.0,-0.20712,0.0
11,0.4787,0.98931,-1.25919,-0.60314,0.49533,-0.37329,-0.08927
12,0.24617,0.74398,-0.96925,0.0,0.0,-0.16215,0.0
13,0.77968,0.92709,-1.21181,-0.51116,0.44862,-0.44731,-0.11277
14,0.39566,0.7975,-1.05895,-0.32668,0.0,0.0,0.0
15,0.37648,0.73934,-1.09949,0.0,0.0,-0.20264,0.0
16,0.4564,0.98453,-1.07457,-0.22436,0.41588,-0.40467,-0.11838
17,0.43779,0.77892,-1.00919,-0.39693,0.0,-0.22937,-0.1037
18,0.77218,0.96638,-1.15054,-0.20312,0.44959,-0.54716,-0.00037
19,0.31425,0.59974,-0.83875,0.0,0.0,-0.18045,0.0
20,0.28445,0.69514,-1.05134,-0.0593,0.0,-0.18682,0.0
21,0.39635,0.88596,-1.03456,0.0,0.0,-0.30318,0.0
22,0.68883,1.09613,-1.26489,-0.34408,0.24858,-0.22223,0.0
23,0.35963,0.73368,-1.17566,0.0,0.0,-0.12639,0.0
24,0.72489,0.75495,-0.99001,-0.49696,0.23274,-0.51853,-0.18139
25,0.37522,0.71955,-1.03827,-0.0418,0.0,-0.25747,0.0
26,0.28735,0.74289,-0.96924,0.0,0.0,-0.22848,0.0
27,0.24388,0.74312,-0.78149,0.0,0.0,-0.40774,0.0
28,0.35273,0.95603,-0.94433,0.0,0.0,-0.28433,0.0
29,0.41432,0.87997,-1.0988,-0.08989,0.31274,-0.48982,0.0
30,0.39479,0.76221,-0.85951,-0.23525,0.0,-0.31943,-0.00196
31,0.42662,0.91285,-1.10775,-0.01778,0.3929,-0.45281,-1e-05
32,0.51258,1.03789,-1.10111,-0.59777,0.46345,-0.34531,-0.27708
33,0.34324,0.65894,-0.91319,0.0,0.0,-0.11725,0.0
34,0.52113,0.89538,-1.05883,-0.36734,0.19812,-0.38307,-0.15029
35,0.27157,0.7088,-0.90804,0.0,0.0,-0.15652,0.0
36,0.37561,0.82749,-0.93361,0.0,0.0,-0.46221,0.0
37,0.35076,0.77485,-1.05823,0.0,0.0,-0.02648,0.0
38,0.61796,0.9452,-1.03796,-0.54138,0.68773,-0.64267,-0.50885
39,0.22093,0.64945,-0.97641,0.0,0.0,-0.15074,0.0
40,0.66393,0.88118,-1.10884,-0.20592,0.46129,-0.42296,-0.34609
41,0.43593,0.73886,-1.03444,-0.16527,0.0,-0.1834,0.0
42,0.31173,0.56212,-0.82028,0.0,0.0,-0.30204,0.0
43,0.36259,0.58659,-0.97794,0.0,0.0,-0.24443,0.0
44,0.44492,0.87711,-1.19855,-0.50957,0.53492,-0.41996,0.0
45,0.43055,0.72839,-1.00848,0.0,0.0,-0.24818,0.0
46,0.39301,0.87738,-0.89485,0.0,0.0,-0.48801,0.0
47,0.23716,0.88202,-1.08845,0.0,0.0,-0.14734,0.0
48,0.52746,0.86668,-1.09475,-0.78101,0.3699,-0.35648,-0.00394
49,0.56215,0.88907,-1.12299,-0.6812,0.55121,-0.51682,0.0
