Subsampling Type,Model,Value,AUC (training),AUC (test),accuracy (training),accuracy (test),average class accuracy (training),average class accuracy (test),f1 (training),f1 (test)
none,GLM,median,0.80,0.79,0.79,0.78,0.65,0.63,0.58,0.56
none,GLM,iqr,0.02,0.07,0.02,0.06,0.03,0.11,0.03,0.11
none,Lasso,median,0.80,0.78,0.79,0.79,0.64,0.64,0.58,0.57
none,Lasso,iqr,0.01,0.06,0.01,0.07,0.02,0.12,0.03,0.14
none,Elasticnet,median,0.80,0.79,0.78,0.77,0.65,0.65,0.58,0.56
none,Elasticnet,iqr,0.03,0.07,0.02,0.08,0.06,0.15,0.04,0.17
none,Catboost,median,0.85,0.79,0.81,0.77,0.67,0.58,0.62,0.51
none,Catboost,iqr,0.04,0.08,0.03,0.05,0.08,0.15,0.09,0.15
none,MLP,median,0.83,0.81,0.80,0.78,0.66,0.61,0.59,0.53
none,MLP,iqr,0.02,0.08,0.02,0.06,0.07,0.18,0.07,0.16
random,GLM,median,0.82,0.80,0.75,0.74,0.75,0.73,0.75,0.60
random,GLM,iqr,0.03,0.08,0.04,0.07,0.04,0.06,0.03,0.08
random,Lasso,median,0.82,0.80,0.73,0.72,0.73,0.73,0.74,0.61
random,Lasso,iqr,0.03,0.07,0.04,0.06,0.04,0.07,0.03,0.08
random,Elasticnet,median,0.81,0.80,0.73,0.72,0.72,0.71,0.74,0.60
random,Elasticnet,iqr,0.03,0.07,0.04,0.08,0.05,0.06,0.03,0.07
random,Catboost,median,0.85,0.78,0.77,0.72,0.77,0.71,0.77,0.60
random,Catboost,iqr,0.05,0.05,0.05,0.07,0.05,0.06,0.06,0.08
random,MLP,median,0.82,0.80,0.73,0.73,0.73,0.70,0.74,0.59
random,MLP,iqr,0.04,0.09,0.04,0.10,0.05,0.08,0.04,0.07
optimized,GLM,median,0.72,0.80,0.66,0.74,0.66,0.73,0.68,0.61
optimized,GLM,iqr,0.04,0.07,0.03,0.05,0.04,0.05,0.03,0.07
optimized,Lasso,median,0.73,0.81,0.66,0.73,0.65,0.72,0.68,0.60
optimized,Lasso,iqr,0.03,0.06,0.03,0.06,0.03,0.07,0.03,0.07
optimized,Elasticnet,median,0.72,0.80,0.65,0.72,0.63,0.72,0.68,0.60
optimized,Elasticnet,iqr,0.04,0.10,0.04,0.08,0.05,0.09,0.04,0.10
optimized,Catboost,median,0.72,0.77,0.65,0.70,0.63,0.69,0.68,0.57
optimized,Catboost,iqr,0.06,0.09,0.05,0.07,0.06,0.07,0.04,0.07
optimized,MLP,median,0.77,0.75,0.70,0.73,0.62,0.55,0.56,0.47
optimized,MLP,iqr,0.05,0.09,0.08,0.05,0.44,0.42,0.39,0.35
