,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,-0.02238,-0.01747,-0.00449,0.01012,-0.01136,0.0,0.03887,0.00026
1,-0.01136,-0.01596,-0.00095,-0.00065,0.00033,-0.00317,0.01724,-0.00327
2,-0.01808,-0.01723,0.00042,-0.00535,-0.0009,-0.0002,0.0191,-0.00311
3,0.0035,-0.03447,0.00104,0.00345,-0.00401,-0.00024,0.00641,-0.00153
4,-0.00714,-0.01254,0.00127,0.00248,0.00413,-0.00023,0.00122,-0.00281
5,-0.00463,-0.00846,0.00059,0.0,0.00165,0.00108,0.00246,-0.0048
6,-0.01513,-0.01426,-0.00048,0.00118,-5e-05,-0.00235,0.01167,-0.0122
7,-0.00822,-0.03263,0.00075,0.00612,0.00113,-0.00489,0.02081,-0.0011
8,-0.00387,0.02468,7e-05,0.0003,-0.00088,-0.00015,0.00101,-0.0023
9,-0.0003,-0.02264,-0.00045,0.00034,0.00184,-0.00171,0.00254,-0.0012
10,0.00107,-0.01846,0.00799,-0.00116,0.00261,0.0,0.0242,0.00675
11,-0.00118,0.01147,0.00028,0.00644,0.00157,-0.00168,0.00416,-0.00223
12,-0.00589,-0.0168,-0.00032,0.00136,-0.0005,-0.00244,0.00338,-0.00277
13,0.00762,0.02423,0.00357,0.00085,-0.00303,0.00049,0.0,-0.0014
14,0.0009,-0.01397,0.0,0.0,-0.00032,0.0,0.01583,0.0
15,0.00773,-0.03299,0.0016,0.0,0.00446,-0.00265,0.01284,-0.00018
16,-0.01103,-0.02201,0.0004,0.00195,0.00125,0.00043,0.01016,-0.00133
17,-0.00111,-0.00729,-0.00119,0.0012,0.01562,-0.00042,0.00725,-0.00784
18,0.01923,-0.01661,-0.00401,0.00158,0.00953,-0.00565,0.02081,-0.0059
19,0.00504,-0.02276,-0.00065,-0.00453,-0.00378,-0.00118,0.012,-0.00079
20,-0.0014,-0.01158,0.0,0.00215,0.00612,0.00065,0.01192,0.0
21,-0.00845,-0.00623,0.00115,0.00217,-0.00241,-0.00055,0.005,-0.00575
22,-0.00437,-0.01975,0.0,0.00143,0.00169,0.00226,0.01393,-0.00288
23,0.00544,0.02075,0.0,6e-05,0.00096,0.0,-0.00244,-0.00225
24,0.02254,0.01678,0.0,-0.00027,0.00044,0.0,-0.01272,-0.01232
25,0.01244,0.02128,0.00063,0.00201,0.0072,0.00289,0.01295,-0.00574
26,-0.00995,-0.02813,0.0,-0.00103,0.0004,-0.00165,0.01477,-0.00368
27,0.03097,-0.02984,-0.00057,0.0,0.00067,-0.00173,0.00823,-0.00124
28,0.00275,-0.01451,-0.0012,-0.00286,0.00528,-0.00542,0.0,0.01281
29,0.00435,0.00591,-0.00723,0.00087,-0.00449,0.00023,0.02092,-0.01038
30,-0.00562,-0.00519,0.00303,0.00567,0.00194,0.00179,-0.00312,-0.00269
31,0.00649,0.0078,0.0,0.001,0.00035,-0.00021,0.00332,-0.0021
32,-0.02438,0.00045,-0.00087,0.01577,0.00169,0.0033,-0.007,0.02514
33,-0.00403,-0.0214,0.00084,0.00204,0.00357,-0.0005,0.01404,0.00014
34,-0.00268,-0.0159,0.00037,0.00137,0.00054,0.0,0.00764,-0.00021
35,-0.00429,0.00471,0.00071,0.0,0.00023,0.00022,0.00424,-0.00016
36,0.04805,-0.06494,-0.00522,-0.00342,0.0071,0.00067,0.01825,0.01032
37,-0.00094,-0.05341,0.0008,0.0,0.00408,-0.00062,0.03223,-0.00207
38,0.01989,0.01633,-0.0009,0.00018,0.00013,-0.00128,0.00947,-0.00272
39,-0.00484,-0.01259,0.00318,0.00302,0.00411,0.00076,-0.00369,-0.00039
40,0.01722,0.02258,0.0,0.00256,-0.00343,-0.0002,0.00253,-0.0067
41,-0.00086,-0.01957,0.0,0.00031,-0.00065,0.0,0.01217,-0.00361
42,-0.01241,0.00075,0.00178,0.00036,-0.00231,0.00141,0.00015,-0.00653
43,0.00496,-0.03003,-0.00965,0.00496,0.00306,-0.01214,0.01001,-0.00342
44,0.00396,-0.01888,-0.00245,-0.00024,-0.00337,0.00091,0.01294,0.00223
45,0.0013,0.01086,-0.00523,0.0,-0.00152,-0.00078,-0.0013,0.00193
46,0.00092,-0.0233,-0.003,9e-05,0.00502,0.00124,0.00923,-0.00286
47,0.00284,0.03382,-0.00022,-0.00956,0.0089,-0.00539,-0.00095,0.00333
48,0.01223,-0.03864,0.00125,0.00274,0.01286,-0.00498,0.00795,-0.00165
49,-0.00255,-0.00076,-0.00128,0.00116,0.0031,0.0,0.00034,-0.00385
