,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,-0.00158,0.04041,0.0,0.0,0.02992,0.0,0.0,0.0
1,0.01357,0.27488,0.02789,0.0,0.11028,0.00299,0.0,-0.0001
2,0.00469,0.11318,0.00624,0.0,0.02368,0.0,0.0344,-0.00164
3,0.0,0.08346,0.0,0.0,0.01488,0.0,0.0,0.0
4,0.02497,0.06019,0.01262,0.0,0.04441,0.0,0.0,0.0
5,-0.00294,0.07721,0.0,0.0,0.01612,-0.0023,0.0,0.0
6,0.00052,0.09905,0.00395,0.03182,0.06933,0.00599,0.00997,0.02131
7,0.00333,0.0452,0.0,0.0,0.00284,0.0,0.0,0.0
8,0.06347,0.06647,0.00083,0.0,0.0058,0.0,0.00134,0.0019
9,0.02221,0.03673,0.0,0.0,0.0456,0.0,0.0,0.0
10,0.01313,0.12536,0.04606,0.01929,0.03476,0.0,0.0,0.0
11,0.02443,0.1245,0.00656,0.0,0.01428,-0.00063,0.00998,0.0
12,0.03067,0.18994,0.03078,0.06968,0.02695,0.0,0.0,0.01133
13,0.07569,0.13488,0.0,0.0,0.05883,0.0,0.07541,0.0
14,0.0,0.05942,0.0,0.0,0.03752,0.0,0.0,0.0
15,0.03634,0.28699,0.01379,0.00107,0.04096,-0.00213,0.03403,-0.00066
16,0.03026,0.12064,0.0,0.0,0.07455,0.0,0.0,0.0
17,-0.00284,0.02131,0.0,0.0,0.09696,0.0,0.0,0.0
18,0.06413,0.11952,0.0,0.0,0.06935,-0.00119,0.02035,-8e-05
19,0.05809,0.40315,0.00743,0.0112,0.04992,0.0,0.0249,0.00727
20,0.0,0.04503,0.0,0.0,0.03003,0.0,0.0,0.0
21,0.0,0.02651,0.0,0.0,0.01573,0.0,0.0,0.0
22,0.02863,0.07127,0.0,0.0,0.0,0.0,0.0,0.01823
23,0.02735,0.26137,0.00747,0.03142,0.03931,-0.00365,0.0266,0.00717
24,0.00326,0.10182,0.0,0.0,0.03382,0.0,0.0,0.0
25,0.0176,0.15909,0.03819,0.0126,0.02756,0.0,0.03946,0.00396
26,0.0,0.07123,0.0,0.0,0.04244,0.0,0.0,0.0
27,0.00208,0.0877,0.00615,0.00836,-0.00046,0.00304,0.00677,-0.00039
28,0.00896,0.08022,0.00866,0.0,0.02196,0.00676,0.0,0.00449
29,0.01251,0.06936,0.00109,0.0,0.02297,-0.00388,0.05921,0.0
30,0.00906,0.09398,0.0,0.0,0.05489,0.0,0.0,0.0
31,0.06286,0.19787,0.00502,0.0,0.00767,0.0,0.02372,0.0019
32,0.0,0.03782,0.0,0.0,0.01017,0.0,0.0,0.0
33,0.07033,0.0555,0.00628,0.01818,0.00411,-0.00056,0.00672,0.00048
34,0.00961,0.15734,0.0,0.0,0.11937,-0.00188,0.0,0.00173
35,0.02395,0.05173,0.0,0.0,0.0389,0.0,0.06888,0.0
36,0.00993,0.06955,0.00219,0.01676,0.02034,0.0,0.0,0.0
37,0.01579,0.06178,0.0,0.0,0.03816,0.0,0.0,0.0132
38,0.0,0.05736,0.0,0.0,0.05643,0.0,0.0,0.0
39,0.06543,0.04344,0.0,0.0,0.03951,0.0,0.0328,0.0
40,0.02118,0.15524,0.00922,0.0057,0.01772,0.00092,0.02085,0.00231
41,0.06758,0.13448,0.0,0.0,0.03022,0.0,0.0149,0.01779
42,0.01638,0.14331,0.0,0.0,0.06694,0.0,0.0,0.0
43,0.0,0.07902,0.0,0.0,0.04953,0.0,0.0,0.0
44,0.09114,0.2237,0.01578,0.0,0.03714,0.0,0.0,0.00273
45,0.03343,0.08703,0.0,0.0,0.04688,0.0,0.0,0.0131
46,0.06817,0.21861,0.01099,0.0366,0.20927,0.0,-0.0048,0.01282
47,0.0,0.03024,0.0,0.0,0.02809,0.0,0.0,0.0
48,-0.0058,0.05804,0.0,0.0,0.02326,0.0,0.0,0.0
49,0.0212,0.08494,0.0,0.0,0.15592,-0.00308,0.0,0.0
