,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.12155,0.06082,0.01717,0.00583,0.00465,0.0056,0.05079,0.01388
1,-0.01333,0.23827,-0.00483,0.01898,-0.01075,-0.00614,0.02663,0.01569
2,0.00091,-0.0139,0.00528,0.0,0.0073,0.0,0.00191,-0.00398
3,0.04243,-0.06735,0.01835,0.00031,-0.00131,0.00033,0.0047,0.03657
4,-0.06543,0.00608,0.00074,0.0084,-0.0003,-0.00586,0.0,-0.01348
5,0.0,0.00551,0.0,0.0,0.01034,0.0,0.0,0.0
6,0.00145,-0.06463,-0.00077,0.0,-0.00396,0.0,0.0,-0.00246
7,0.03916,0.01185,0.00172,0.0,0.00962,-0.00607,0.0,0.00584
8,0.04034,0.14396,-0.00063,0.00043,0.00332,0.00126,0.00456,0.00391
9,0.0,-0.01041,0.00716,0.0,0.00267,0.0,-0.00053,0.0
10,0.0228,-0.0016,0.00712,0.0,0.00769,0.00011,0.00168,0.00623
11,0.06371,0.02862,0.01064,0.0,0.00749,0.00107,0.0,0.00629
12,0.07062,-0.01666,0.00348,0.00149,0.04191,0.00292,0.00067,0.00807
13,0.0645,0.05954,0.01572,0.02517,-0.03567,0.00326,0.06081,0.0296
14,-0.00381,-0.03573,0.00263,0.00082,0.0011,0.00469,0.01905,0.02423
15,0.03256,0.06555,0.01364,0.00185,0.00345,0.0,0.01549,0.00105
16,0.0,-0.00264,-0.00042,0.0,0.00715,0.0,0.00494,0.0
17,-0.00113,0.00102,-0.0047,-0.0032,0.02199,0.0,0.00226,0.00537
18,0.06473,-0.07524,0.03065,0.01689,0.00889,-0.00378,0.01116,0.03019
19,0.10654,-0.09602,0.01864,0.05193,0.00698,0.00882,0.06314,0.00787
20,0.0771,0.03063,0.02902,0.00644,0.00121,0.0,0.00337,-0.00099
21,0.0102,0.02068,0.0,0.0,0.01649,0.0,0.0,0.0
22,0.04697,-0.06578,0.01502,0.00145,0.00396,0.0,0.00489,0.00013
23,0.02649,0.07112,-0.00121,0.00674,0.00034,0.00397,0.04892,0.02661
24,0.01524,0.03961,0.00334,0.01939,0.07127,0.01571,0.03849,0.05472
25,0.06523,0.10647,0.00223,0.00059,-0.00212,0.00099,0.01424,0.04621
26,0.00595,-0.02622,0.00023,0.00129,0.00245,0.00145,0.00322,-0.00014
27,0.04337,0.00977,0.01233,0.00607,-0.0014,0.00032,0.01839,-0.02079
28,0.05449,-0.05476,0.00382,0.00452,-0.0037,0.0007,0.0,-0.00437
29,0.05199,0.06156,0.0,0.0019,0.01472,0.00046,0.00992,-0.0066
30,0.01797,6e-05,0.0012,0.0,-0.0014,0.0,-0.00579,0.00286
31,0.00335,-0.05347,-0.00045,0.00536,0.01048,-0.00227,-0.00449,0.00519
32,0.02635,0.00466,-0.00024,0.00541,0.07471,0.00212,0.0152,0.00821
33,0.07176,-0.05363,-0.0004,0.0,-0.00301,0.00355,0.01495,0.00371
34,-0.02468,-0.02095,-0.00026,0.00113,0.00028,-9e-05,0.00493,-0.0035
35,0.04122,0.04655,0.00164,0.0,0.00153,0.0,0.00357,-0.00756
36,0.07443,-0.0606,0.00684,0.0,0.00096,-0.00306,0.01811,0.02889
37,0.04591,-0.04088,0.00865,0.0081,0.01684,0.00204,0.04344,0.03607
38,0.02876,-0.03697,0.00793,0.01555,-0.00163,0.0039,0.04061,0.01946
39,0.05172,0.01423,0.00045,0.00711,0.00488,0.0,0.01152,-0.00252
40,-0.05209,-0.00892,-0.00136,0.00024,-0.00715,-0.00537,0.00937,0.01031
41,-0.00119,-0.00229,-0.00457,0.0,0.0304,0.00149,0.01117,0.00382
42,-0.0251,0.05222,-0.00735,0.00292,0.01209,0.00924,0.00469,-0.01854
43,-0.03433,0.05882,-0.00221,0.0,0.00704,-0.00412,-0.00673,-0.00303
44,0.07767,0.07309,-0.0066,0.0066,0.04152,-0.00092,0.02479,0.00272
45,0.03153,-0.02556,-0.00154,0.00492,0.01942,0.00468,0.00476,0.00071
46,0.04825,0.04175,-0.00082,0.0,0.00725,0.0,0.0,0.00209
47,0.00248,0.07391,0.00184,0.00256,0.00842,-0.00083,0.00105,0.00289
48,0.02657,-0.02114,0.00621,0.0,0.00722,0.00169,0.0,-0.00673
49,-0.00044,0.00237,0.0,0.0,0.00365,0.0,0.0,0.0
