,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.31042,1.25493,-1.5918,-0.36929,0.53123,-0.88782,0.0,0.16846
1,0.0,2.17176,-1.10191,0.0,1.66385,0.0,-0.62394,0.0
2,0.05392,0.13724,-0.12459,0.0,0.0,-0.09546,0.0,0.0
3,0.30928,1.05093,-0.66746,-0.11289,0.18812,-0.78884,0.0,0.0
4,0.39251,0.81225,-0.63882,-0.03713,0.0,-0.20786,0.0,0.0
5,0.05377,0.10205,-0.07678,0.0,0.0,-0.04341,0.0,0.0
6,0.61766,0.86984,-0.79023,-0.4483,0.23554,-0.53582,-0.33434,0.2249
7,0.92142,1.41365,-1.01625,-0.93528,0.06849,-0.31852,-0.81661,0.0
8,1.09225,0.7995,-1.23581,0.0,0.53867,-0.92454,-0.41228,0.17969
9,0.51303,1.32841,-1.09561,-0.66968,0.65398,-0.63592,0.0,0.0
10,0.14513,0.42401,-0.40406,0.0,0.0,-0.1971,0.0,0.0
11,0.05789,0.13392,-0.11162,0.0,0.0,-0.01184,0.0,0.0
12,1.28336,0.96932,-1.02624,-0.68558,0.52119,-0.35311,-0.78154,0.0
13,0.15945,0.38493,-0.35881,0.0,0.0,-0.15599,0.0,0.0
14,1.1941,0.45381,-0.35535,0.0,0.12052,-1.38162,-0.40183,0.0
15,0.61076,0.99615,-0.88365,-0.38145,0.0,-0.18607,0.0,0.0
16,0.63515,0.0,-1.6329,-1.18442,0.0,0.0,-0.66663,3.02345
17,0.32411,0.68604,-0.79464,0.0,0.0,-0.29649,0.0,0.0
18,0.19867,0.43183,-0.44153,0.0,0.0,0.0,0.0,0.0
19,0.39521,0.29312,-0.92776,-0.34595,0.47388,0.0,-0.61252,0.0
20,0.08883,0.1541,-0.12771,0.0,0.0,-0.06685,0.0,0.0
21,0.8576,1.08272,-0.77219,-0.44369,0.58802,-0.50815,-0.70497,0.0
22,0.00609,0.13151,0.0,0.0,0.0,0.0,0.0,0.0
23,0.03828,0.15981,-0.11429,0.0,0.0,-0.07319,0.0,0.0
24,0.05979,0.14298,-0.1316,0.0,0.0,-0.06307,0.0,0.0
25,0.05299,0.15398,-0.13807,0.0,0.0,-0.06643,0.0,0.0
26,0.27433,0.81046,-0.58727,0.0,0.0,-0.40497,0.0,0.0
27,0.67802,1.14984,-0.81839,-0.35938,0.0,-0.51766,0.0,0.0
28,0.20296,1.69989,-1.0664,-0.4954,0.0,0.0,-1.1882,0.0
29,0.04251,0.14212,-0.1209,0.0,0.0,-0.08147,0.0,0.0
30,2.59904,1.60613,-0.20813,-0.13104,-1.19607,-1.55156,1.08547,-1.61284
31,-0.35107,10.1559,0.37498,-0.16224,4.28277,-2.55802,-0.41627,-3.10559
32,0.11439,0.18321,-0.15214,0.0,0.0,-0.12413,0.0,0.0
33,0.41646,1.78179,-0.62598,-0.46372,0.53739,-0.22224,-0.10886,0.16909
34,0.80067,1.42295,-0.75541,-0.04589,0.60814,-0.4518,-0.29795,0.64747
35,0.06976,0.15781,-0.12575,0.0,0.0,-0.07734,0.0,0.0
36,0.07143,0.14949,-0.13417,0.0,0.0,0.0,0.0,0.0
37,0.30305,0.65447,-0.75075,0.0,0.0,-0.20085,0.0,0.0
38,0.0,1.21772,-1.1672,0.0,0.0,-0.8751,-0.68326,-0.3524
39,0.0,1.54156,-1.53998,0.0,0.0,-0.12186,-0.97275,0.0
40,0.11346,0.31919,0.0,0.0,0.0,0.0,0.0,0.0
41,0.78165,1.28737,-1.36793,0.0,0.1755,-1.01025,-2.47344,0.0
42,12.02462,8.84334,-11.25977,-7.886,16.20748,-6.50254,-7.18844,-4.12022
43,0.93899,1.1847,-0.90332,-0.02161,1.29281,-0.9412,-0.3358,0.0
44,0.07852,0.14995,-0.1358,0.0,0.0,-0.03529,0.0,0.0
45,0.31599,0.7552,-0.6536,0.0,0.0,-0.2847,0.0,0.0
46,0.0,0.25106,-0.13858,0.0,0.0,0.0,0.0,0.0
47,0.08799,0.18817,-0.1555,0.0,0.0,-0.11322,0.0,0.0
48,0.79988,1.2329,-0.7095,-0.51899,0.52883,-0.60576,-0.64745,0.0
49,0.10316,0.4329,-0.33535,0.0,0.0,-0.16826,0.0,0.0
