,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.75782,1.16496,-0.73132,-0.22985,1.10541,0.0,0.0,0.43306
1,1.04003,1.73042,-0.31675,0.0,0.92962,0.0,-0.01789,0.14031
2,0.20489,0.46455,-0.10203,0.0,0.0,0.0,0.0,0.0
3,0.25062,0.5194,0.0,0.0,0.0,0.0,0.0,0.0
4,0.49304,0.99037,-1.26597,-0.39021,0.65499,0.09824,-0.05788,0.0
5,0.25749,0.39538,0.0,0.0,0.0,0.0,0.0,0.0
6,0.63287,1.0883,-0.4449,0.0,0.54835,-0.20753,0.0,0.01373
7,0.46872,0.73046,0.0,0.0,0.0,0.0,0.0,0.0
8,0.31619,0.32715,0.0,0.0,0.0,0.0,0.0,0.0
9,1.08245,0.92663,-0.93927,0.14571,0.38102,-0.63718,0.71581,0.0
10,1.0326,1.91032,-0.69194,0.0,1.55279,0.0,0.0,0.0
11,0.54758,0.99263,0.0,0.0,0.0,0.0,0.0,0.0
12,0.40752,1.06838,-0.76234,0.12973,0.75707,0.0,-0.09437,0.0
13,0.10965,0.20042,0.0,0.0,0.0,0.0,0.0,0.0
14,0.28536,0.42913,0.0,0.0,0.0,0.0,0.0,0.0
15,2.85024,22.52751,-7.75681,-2.05859,-4.29439,12.48103,-1.23765,1.00179
16,0.17005,0.41404,0.0,0.0,0.0,0.0,0.0,0.0
17,0.01698,1.52061,-0.76498,0.29422,1.7998,-0.13182,0.449,1.96722
18,7.4265,14.91138,-9.93606,12.60172,-19.64092,-2.74847,-22.90522,18.62756
19,0.64013,1.62683,-0.44883,0.0,0.0,0.0,0.0,0.0
20,0.30214,0.35995,0.0,0.0,0.0,0.0,0.0,0.0
21,0.14926,0.37056,0.0,0.0,0.0,0.0,0.0,0.0
22,0.17805,0.35521,0.0,0.0,0.0,0.0,0.0,0.0
23,0.36694,1.10564,0.0,0.0,0.0,0.0,0.0,0.0
24,0.21621,0.42253,0.0,0.0,0.0,0.0,0.0,0.0
25,1.24068,1.87403,-1.03969,0.0,0.8401,0.26902,0.39573,0.0
26,0.12971,0.23551,0.0,0.0,0.0,0.0,0.0,0.0
27,0.61556,1.04517,-0.44238,0.0,0.0,0.0,0.0,0.0
28,0.29176,0.41505,0.0,0.0,0.0,0.0,0.0,0.0
29,17.8974,49.85625,-23.75589,-3.50786,17.60512,0.22582,3.89205,-30.00441
30,0.32454,0.58256,-0.1202,0.0,0.05153,0.0,0.0176,0.0
31,0.13204,0.22258,0.0,0.0,0.0,0.0,0.0,0.0
32,0.2174,0.30305,0.0,0.0,0.0,0.0,0.0,0.0
33,0.1019,0.17791,0.0,0.0,0.0,0.0,0.0,0.0
34,0.29693,0.4252,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,2.27503,-1.54114,0.0,1.11795,-0.37985,0.0,-0.12195
36,0.0,7.66345,-1.6811,3.21917,0.59755,3.13019,-5.38603,4.50391
37,5.802,-0.63789,-2.15861,-0.0928,-2.81036,1.86381,-2.04279,-5.6928
38,0.55976,1.49109,-0.77103,0.0,0.46874,0.0,0.0,0.0
39,0.0,0.86215,-0.14522,0.6023,1.01859,0.0,0.0,-0.60806
40,0.53719,1.35462,-0.2955,0.0,0.31345,0.0,0.0,0.0
41,0.23818,0.42881,0.0,0.0,0.0,0.0,0.0,0.0
42,0.10983,0.16484,0.0,0.0,0.0,0.0,0.0,0.0
43,26.15595,11.9524,-9.5254,-1.62365,19.87287,3.98317,12.43698,-12.1257
44,5.19935,8.0991,-0.58925,-1.6382,2.09054,2.40924,0.9673,-0.80331
45,0.68993,1.33157,-0.04132,0.0,0.54612,0.0,0.0,0.0
46,0.77502,1.08274,-0.46531,0.16836,0.60564,-0.04084,-0.02473,0.0
47,0.97538,0.90059,-0.42877,0.0,0.0,0.45905,0.0,-0.06834
48,0.94555,1.28323,-0.51269,0.0,0.95784,0.0,0.0,0.0
49,0.39874,1.71668,-0.63396,0.0,1.05323,-0.26834,0.0,0.0
