,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.45085,0.97839,-0.77791,0.0,0.67803,0.0,0.037,0.0
1,0.3986,1.00173,0.0,0.0,0.0,0.0,0.0,0.0
2,0.17604,0.39806,0.0,0.0,0.0,0.0,0.0,0.0
3,0.38604,0.48095,-0.67459,-0.89314,0.41732,0.87532,0.58169,-0.94488
4,0.68743,0.99109,-0.12542,-0.16668,0.0,0.0,0.0,0.0
5,1.04404,0.66615,0.0,-0.03206,0.41379,-0.05764,0.21795,0.0
6,0.42467,1.038,-0.2541,-0.24585,0.61879,-0.02103,0.0,0.0
7,0.766,1.35379,-0.39147,0.11355,0.32585,0.0,-0.34324,0.0
8,0.15339,0.47401,0.0,0.0,0.0,0.0,0.0,0.0
9,5.81306,6.89361,-8.97832,0.78576,0.87465,2.58549,2.6758,-4.84133
10,0.54482,1.41927,-0.50822,0.0,0.70592,0.0,0.0,0.01152
11,0.78809,1.39895,-0.2575,0.0,0.0,0.0,0.0,0.0
12,1.03798,1.51932,-0.56797,0.0,1.36643,-0.21104,-0.60637,0.0
13,0.68997,1.33682,-0.44858,0.0,0.79446,0.0,0.0,0.0
14,0.4601,0.75987,0.0,0.0,0.0,0.0,0.0,0.0
15,0.83542,1.44808,-0.1556,0.0,0.0,0.0,0.0,0.0
16,0.69115,0.84559,-0.21002,0.0,0.0,0.0,0.0,0.0
17,0.90887,0.97985,0.0,0.0,0.83635,0.0,-0.03649,0.0
18,0.52326,1.48265,-0.52831,0.0,0.09837,0.0,0.0,-0.19282
19,0.28252,0.4187,-0.07584,0.0,0.0,0.0,0.0,0.0
20,1.38968,1.33331,-1.40526,0.0,0.79317,0.69106,0.28547,0.0
21,0.48948,1.14709,0.0,0.0,0.0,0.0,0.0,0.0
22,0.02167,0.02589,-0.00523,0.00499,0.00344,0.00097,0.00582,0.00643
23,0.31773,0.9163,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,1.11851,-0.90563,-0.06706,0.97414,0.16552,0.2202,0.08126
25,0.0664,0.08593,-0.01215,0.00949,0.01113,-0.00094,0.01741,0.02671
26,0.50675,1.32214,-0.80316,0.0,0.83241,-0.47008,0.0,0.0
27,0.28953,0.51789,-0.09523,0.0,0.0,0.0,0.0,0.0
28,2.25438,1.80785,0.0,0.0,0.5608,0.08281,-0.39922,-0.27691
29,0.9027,1.25337,-0.36117,0.0,0.34573,0.0,0.0,0.0
30,0.9657,1.90926,0.17238,-0.90667,0.79375,-0.42279,0.25109,0.47595
31,0.45582,0.66905,-0.40189,-0.03495,0.16126,0.09065,0.01326,-0.0311
32,15.54086,12.98104,-7.44849,-7.29345,23.28376,-4.68913,-15.51156,45.48081
33,0.49675,0.45987,0.0,0.0,0.0,0.0,0.0,0.0
34,0.20539,0.81899,-0.50586,0.0,0.377,0.0,0.0,0.44433
35,0.24211,0.53325,0.0,0.0,0.0,0.0,0.0,0.0
36,0.52733,0.88993,-0.12178,0.0,0.0,0.0,0.0,0.0
37,0.68587,0.68565,0.0,0.0,0.37853,-0.03658,0.0,0.0
38,0.30179,0.50842,-0.05935,0.0,0.0,0.0,0.0,0.0
39,1.20126,1.52248,0.0,0.0,0.0,-0.24567,0.0,0.0
40,0.38535,0.53161,0.0,0.0,0.0,0.0,0.0,0.0
41,0.15097,0.40376,0.0,0.0,0.0,0.0,0.0,0.0
42,0.91514,1.24998,0.0,-0.00072,0.57284,-0.12129,0.0,0.0
43,0.41755,1.09955,-0.36702,0.0,0.57819,0.0,0.0,0.0
44,0.16709,0.25963,-0.04191,0.03235,0.04682,-0.02199,0.0245,0.04617
45,0.19941,0.38473,0.0,0.0,0.0,0.0,0.0,0.0
46,0.95097,1.06889,-0.54493,0.02564,0.2923,0.0,0.23494,0.2688
47,0.51424,0.91906,-0.17723,0.0,0.0,0.0,0.0,0.0
48,0.44181,0.77985,-0.13688,0.0,0.0,0.0,0.0,0.0
49,0.15293,0.24627,0.0,0.0,0.0,0.0,0.0,0.0
