,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.64916,0.93511,-1.2031,-0.53485,0.53681,-0.43191,-0.08864,0.15221
1,0.6243,1.15619,-1.13304,-0.1889,0.62388,-0.69036,-0.25073,0.1331
2,0.56968,0.94113,-0.88685,-0.42528,0.11132,-0.59995,-0.21779,0.15603
3,0.57085,0.97871,-1.0078,-0.39876,0.52336,-0.62427,-0.24095,0.01213
4,0.66991,1.07024,-0.93323,-0.65345,0.29174,-0.34992,-0.36935,0.06231
5,0.75064,0.96694,-0.70695,-0.54807,0.41286,-0.5649,-0.67618,0.17334
6,0.57886,1.0926,-0.82462,-0.64645,0.43334,-0.6079,-0.53491,0.14175
7,0.67437,1.12491,-0.91661,-0.37061,0.14552,-0.37487,-0.60148,0.12038
8,0.72044,1.02243,-0.91401,-0.39726,0.56581,-0.59201,-0.48395,0.10058
9,0.63535,1.08772,-0.96828,-0.58868,0.36365,-0.48104,-0.08918,0.08166
10,0.66305,1.20568,-1.02559,-0.56442,0.37319,-0.46246,-0.56383,0.20619
11,0.67475,1.12342,-1.04348,-0.23446,0.10432,-0.38991,-0.5333,0.02105
12,0.61954,1.11381,-0.9874,-0.39529,0.61122,-0.49556,-0.80507,0.12839
13,0.7118,1.09005,-1.03043,-0.3502,0.66566,-0.56986,-0.57608,0.10826
14,0.78762,1.04125,-0.81241,-0.53692,0.37853,-0.60826,-0.46025,0.14903
15,0.64826,1.04217,-1.01912,-0.764,0.1471,-0.27328,-0.29302,0.11048
16,0.56171,1.13502,-0.7695,-0.43747,0.23018,-0.48594,-0.6906,0.0689
17,0.64203,1.033,-1.06539,-0.54447,0.31488,-0.4512,-0.46399,0.12175
18,0.67557,1.17465,-1.06571,-0.49269,0.30753,-0.45285,-0.25141,-0.1161
19,0.52328,0.94697,-0.92354,-0.3102,0.41187,-0.5149,-0.5599,0.06712
20,0.68526,0.97287,-1.15787,-0.31994,0.39095,-0.36304,-0.29311,0.11049
21,0.63004,1.16275,-0.78985,-0.43855,0.56242,-0.66315,-0.62165,0.11782
22,0.71621,0.98608,-0.96204,-0.36455,0.26457,-0.54849,-0.35139,0.19278
23,0.53257,1.08333,-0.76472,-0.44843,0.36743,-0.59207,-0.74777,0.02562
24,0.62325,0.98344,-0.99314,-0.5043,0.38224,-0.3852,-0.42061,0.11718
25,0.66346,1.01478,-1.10114,-0.52593,0.44462,-0.43282,-0.32975,0.14625
26,0.68514,1.13984,-0.81313,-0.49995,0.37805,-0.69107,-0.39502,0.09276
27,0.7378,1.32283,-0.87994,-0.62893,0.21876,-0.64498,-0.20027,0.07992
28,0.66692,1.23171,-0.9451,-0.4417,0.01879,-0.27314,-0.67374,0.10602
29,0.60695,1.00904,-0.96171,-0.62498,0.47416,-0.45037,-0.36465,0.11541
30,0.78026,1.12936,-0.9797,-0.67768,0.39623,-0.48051,-0.50871,0.051
31,0.64903,1.02377,-1.02269,-0.57269,0.26658,-0.32591,-0.51249,-0.10519
32,0.69448,1.07185,-0.76912,-0.24309,0.51036,-0.63612,-0.91921,0.11801
33,0.61345,0.9585,-0.87063,-0.45794,0.40642,-0.53464,-0.3053,0.03315
34,0.7434,1.09054,-0.89014,-0.39315,0.57561,-0.69703,-0.46577,0.10069
35,0.60627,1.05811,-0.87011,-0.50964,0.2308,-0.56789,-0.28649,0.12626
36,0.66323,1.05398,-0.88496,-0.37684,0.42638,-0.50846,-0.75123,0.13989
37,0.59458,1.06968,-0.906,-0.22445,0.27173,-0.51078,-0.61058,0.01583
38,0.58836,1.15353,-0.94133,-0.37316,0.32733,-0.55709,-0.31622,0.0733
39,0.64079,1.10907,-0.95454,-0.10319,0.29892,-0.53842,-0.41499,0.09373
40,0.77941,1.23502,-0.74925,-0.48526,0.2021,-0.48984,-0.64828,0.12573
41,0.58152,1.10592,-0.8878,-0.38496,0.42518,-0.52718,-0.52116,0.03479
42,0.64098,0.98756,-0.99428,-0.44808,0.38175,-0.4687,-0.40475,0.09955
43,0.72998,1.04205,-1.05138,-0.42047,0.56467,-0.55173,-0.34803,0.14786
44,0.77758,1.00628,-0.97116,-0.55138,0.43127,-0.4682,-0.52438,0.15854
45,0.61384,1.06284,-0.93726,-0.59043,0.23206,-0.36151,-0.26473,0.11652
46,0.52836,1.09924,-0.96434,-0.27188,0.27142,-0.55889,-0.19649,0.02274
47,0.61484,1.03076,-0.95791,-0.41369,0.30368,-0.37814,-0.55016,0.00737
48,0.72243,1.1607,-0.91565,-0.45083,0.55022,-0.56424,-0.62926,0.06074
49,0.5829,1.17965,-0.98971,-0.38785,0.52363,-0.71171,-0.20417,0.18267
