,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.60159,0.96583,-0.74639,-0.40019,1.04267,-0.14463,0.23122,-0.04561
1,0.86751,1.48169,-0.76127,0.04113,0.88211,-0.11439,-0.13615,0.12394
2,0.57464,0.93722,-0.40835,-0.5231,0.36793,-0.03851,0.02129,0.08288
3,0.67106,1.34758,-0.30202,-0.24491,0.36265,-0.09223,-0.03414,0.03663
4,0.79139,1.11966,-0.80684,-0.40788,0.80312,0.30239,-0.1726,0.07363
5,0.80336,0.89953,-0.21828,-0.46145,0.52517,-0.08475,0.10423,0.33095
6,0.65652,0.99836,-0.57871,-0.15586,1.02625,-0.28408,-0.00155,0.24723
7,0.75971,1.04044,-0.56394,-0.1256,0.11128,0.21294,-0.03884,0.02114
8,0.90761,0.89633,-0.53102,-0.0876,0.66166,-0.10299,-0.30114,0.1145
9,0.60153,0.92647,-0.62539,0.21065,0.91595,-0.29182,0.72519,-0.09258
10,0.6612,1.4142,-1.09138,-5e-05,1.34769,0.06623,0.17409,0.26878
11,0.84374,1.37535,-0.45141,-0.45513,0.50791,0.26615,0.04829,-0.08287
12,0.70364,1.23946,-0.89166,0.47082,1.03644,0.07033,-0.33726,-0.05022
13,0.78803,1.06567,-0.28597,-0.12439,0.63598,-0.427,0.42744,0.09404
14,0.93137,1.08838,-0.01106,-0.48837,0.36753,-0.31281,0.21272,0.33751
15,0.63294,1.67818,-0.90878,-0.365,0.48931,0.57238,0.2304,0.01916
16,0.49666,0.91574,-0.38879,-0.06492,0.53649,-0.03889,-0.1699,-0.02477
17,0.65395,1.08887,-0.76739,-0.07647,0.75622,0.00886,0.08671,0.13824
18,0.68793,1.04726,-0.64735,0.16441,0.54716,0.10006,-0.21269,-0.10436
19,0.70777,1.75289,-0.44292,-0.14392,0.37562,0.10445,0.04521,0.032
20,0.83489,0.81074,-0.62323,-0.40011,0.46002,0.25318,0.05467,0.24278
21,0.54727,0.83026,-0.4233,-0.06048,0.52926,-0.09023,-0.33031,0.05898
22,0.8747,0.92849,-0.85527,0.25583,0.21238,0.15053,0.23961,0.18541
23,0.46517,1.64537,-0.15877,0.38217,0.34402,-0.0586,-0.40974,-0.1385
24,0.60835,0.90952,-0.51304,-0.14122,0.66109,-0.04373,-0.19029,0.06092
25,0.74015,1.2057,-1.32512,0.06797,1.00378,0.30255,0.35921,0.11865
26,0.75469,1.11553,-0.36556,-0.24607,0.59225,-0.18846,-0.05893,-0.06845
27,0.70655,1.21085,-0.57046,0.02649,0.11307,-0.06273,-0.00929,0.00058
28,0.70542,0.89575,-0.37492,-0.20343,0.03451,0.00092,0.10522,0.07175
29,0.6468,1.17524,-0.53003,-0.38724,0.16048,0.26288,0.01459,0.26994
30,0.73316,1.31146,-0.47922,-0.39108,0.46329,0.03057,0.06071,-0.0004
31,0.84618,1.57389,-0.64953,-0.36855,0.46173,0.22283,0.16008,-0.15224
32,0.77301,0.89944,-0.30008,0.0969,0.43283,-0.26318,-0.39415,0.05854
33,0.63352,0.96837,-0.57581,0.3934,0.34649,-0.03698,-0.13134,-0.19024
34,0.81266,0.94808,-0.39698,-0.34325,0.69779,-0.16289,-0.0407,0.04441
35,0.6275,1.09865,-0.53179,0.00595,0.61247,-0.46912,0.80684,0.0269
36,0.6347,0.93733,-0.74468,0.40661,0.7915,0.04536,-0.48513,0.02838
37,0.63332,0.90548,-0.39062,0.40426,0.37534,0.01619,-0.4075,0.45518
38,0.48162,1.53575,-1.00284,-0.1194,0.82782,0.38169,0.04968,0.04835
39,0.59337,1.01814,-0.92259,0.63181,0.79809,-0.0112,0.03605,0.01206
40,0.72082,1.39297,-0.55966,0.0325,0.72893,-0.08445,0.05713,0.05815
41,0.68195,0.99886,-0.40248,-0.06746,0.55505,-0.06621,-0.16337,-0.14129
42,0.70416,0.93443,-0.4646,-0.09991,0.46524,-0.13226,-0.09568,0.02791
43,0.78558,1.22265,-0.57498,-0.41802,0.84577,-0.10384,0.05182,0.05409
44,1.10322,1.1508,-0.82996,-0.09339,0.84967,-0.10852,0.12444,-0.04481
45,0.6022,1.11885,-0.69334,-0.26597,0.71499,0.16936,0.41119,0.33108
46,0.63568,1.14267,-0.66997,0.20587,0.83411,-0.26937,-0.20985,-0.08578
47,0.75395,1.10472,-0.80296,-0.01513,0.22954,0.54765,-0.41195,-0.17193
48,0.75646,0.94932,-0.57361,-0.20759,0.97167,-0.31123,0.08762,0.02314
49,0.64162,1.35372,-0.58573,-0.09724,1.15809,-0.31222,0.01716,0.09947
