,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.34989,0.6939,-0.89723,0.0,0.0,-0.18381,0.0,0.0
1,0.54041,1.07825,-1.08084,-0.05167,0.39654,-0.62287,-0.10589,0.09543
2,0.26427,0.67084,-0.7303,0.0,0.0,-0.42212,0.0,0.0
3,0.285,0.69845,-0.75772,0.0,0.0,-0.36585,0.0,0.0
4,0.4435,0.87136,-0.87295,-0.21923,0.0,-0.28318,0.0,0.0
5,0.41122,0.66907,-0.65814,0.0,0.0,-0.3987,0.0,0.0
6,0.47401,0.98421,-0.78822,-0.41855,0.12274,-0.51012,-0.30094,0.08819
7,0.33678,0.77044,-0.81394,0.0,0.0,-0.2292,0.0,0.0
8,0.71668,1.01864,-0.91175,-0.39052,0.5561,-0.58917,-0.47666,0.09932
9,0.61947,1.0741,-0.96018,-0.55954,0.32418,-0.47026,-0.06154,0.07479
10,0.37885,0.9228,-0.97171,-0.00254,0.0,-0.34937,-0.02306,0.0764
11,0.46685,0.8601,-1.00605,0.0,0.0,-0.29341,0.0,0.0
12,0.61543,1.10924,-0.98515,-0.38623,0.60006,-0.49126,-0.79719,0.13034
13,0.36686,0.74953,-0.80178,0.0,0.0,-0.28077,0.0,0.0
14,0.46756,0.78215,-0.70666,0.0,0.0,-0.45742,0.0,0.00855
15,0.46287,0.87234,-0.96713,-0.38426,0.0,-0.22837,0.0,0.03443
16,0.27014,0.76744,-0.68152,0.0,0.0,-0.35672,0.0,0.0
17,0.30285,0.72138,-0.87447,0.0,0.0,-0.26748,0.0,0.0
18,0.41129,0.89131,-0.91405,0.0,0.0,-0.30651,0.0,0.0
19,0.28207,0.67483,-0.79436,0.0,0.0,-0.32175,0.0,0.0
20,0.37854,0.70094,-0.89018,0.0,0.0,-0.15794,0.0,0.0
21,0.29985,0.80739,-0.65783,0.0,0.0,-0.37632,0.0,0.0
22,0.40754,0.71478,-0.78063,0.0,0.0,-0.31515,0.0,0.0061
23,0.25271,0.76088,-0.71107,0.0,0.0,-0.4114,0.0,0.0
24,0.60467,0.96764,-0.98221,-0.47307,0.33767,-0.37444,-0.3849,0.10778
25,0.32217,0.72385,-0.88692,0.0,0.0,-0.1982,0.0,0.0
26,0.31035,0.82596,-0.64869,0.0,0.0,-0.44393,0.0,0.0
27,0.44505,1.08627,-0.7972,-0.07172,0.0,-0.51678,0.0,0.0
28,0.35778,0.89041,-0.90691,0.0,0.0,-0.1992,0.0,0.0
29,0.51609,0.92754,-0.9098,-0.44889,0.23892,-0.39329,-0.19197,0.08235
30,0.45157,0.83556,-0.90469,-0.00371,0.0,-0.31839,0.0,0.0
31,0.34208,0.70345,-0.92847,0.0,0.0,-0.1854,0.0,0.0
32,0.4097,0.73688,-0.68265,0.0,0.0,-0.40363,-0.04768,0.0
33,0.43198,0.79209,-0.79411,-0.09388,0.0,-0.41473,0.0,0.0
34,0.45489,0.82157,-0.75212,0.0,0.0,-0.45659,0.0,0.0
35,0.34737,0.83697,-0.79992,0.0,0.0,-0.41656,0.0,0.0
36,0.33185,0.7188,-0.78553,0.0,0.0,-0.24166,0.0,0.0
37,0.37331,0.7908,-0.83835,0.0,0.0,-0.36313,0.0,0.0
38,0.32895,0.87713,-0.80588,0.0,0.0,-0.34693,0.0,0.0
39,0.39944,0.82092,-0.78388,0.0,0.0,-0.33827,0.0,0.0
40,0.43245,0.82336,-0.67539,0.0,0.0,-0.32562,0.0,0.0
41,0.5732,1.09866,-0.88347,-0.37056,0.40331,-0.52098,-0.50503,0.0305
42,0.40477,0.77525,-0.89222,0.0,0.0,-0.35779,0.0,0.0
43,0.39345,0.78381,-0.84388,0.0,0.0,-0.3082,0.0,0.0
44,0.38547,0.67968,-0.82888,0.0,0.0,-0.23334,0.0,0.0
45,0.28661,0.76495,-0.76996,0.0,0.0,-0.24367,0.0,0.0
46,0.3357,0.91756,-0.85921,0.0,0.0,-0.38836,0.0,0.0
47,0.28749,0.70524,-0.77879,0.0,0.0,-0.24689,0.0,0.0
48,0.36238,0.78817,-0.76505,0.0,0.0,-0.287,0.0,0.0
49,0.26863,0.88718,-0.76862,0.0,0.0,-0.36821,0.0,0.0
