,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.39397,0.73493,-0.1794,0.0,0.02492,0.0,0.0,0.0
1,0.705,1.28936,-0.46571,0.0,0.24671,0.0,0.0,0.00796
2,0.30637,0.74766,-0.22778,0.0,0.0,0.0,0.0,0.0
3,0.31537,0.83627,0.0,0.0,0.0,0.0,0.0,0.0
4,0.51034,0.76579,-0.17399,0.0,0.0,0.0,0.0,0.0
5,0.48006,0.70892,0.0,0.0,0.0,0.0,0.0,0.0
6,0.57125,0.9126,-0.44634,0.0,0.66255,-0.19136,0.0,0.18121
7,0.42207,0.65774,0.0,0.0,0.0,0.0,0.0,0.0
8,0.51791,0.5264,0.0,0.0,0.0,0.0,0.0,0.0
9,0.60145,0.92632,-0.6249,0.20983,0.91486,-0.29102,0.72439,-0.09236
10,0.63029,1.3682,-0.93186,0.0,1.19035,0.00991,0.0492,0.22995
11,0.51963,0.90953,0.0,0.0,0.0,0.0,0.0,0.0
12,0.70308,1.23755,-0.89005,0.47187,1.03551,0.0682,-0.3337,-0.04781
13,0.40324,0.72683,0.0,0.0,0.0,0.0,0.0,0.0
14,0.44538,0.71196,0.0,0.0,0.0,0.0,0.0,0.0
15,0.23463,1.04565,0.0,0.0,0.0,0.0,0.0,0.0
16,0.26138,0.63265,0.0,0.0,0.0,0.0,0.0,0.0
17,0.57262,1.00237,-0.48215,0.0,0.31525,0.0,0.0,0.07059
18,0.42258,0.6263,0.0,0.0,0.0,0.0,0.0,0.0
19,0.42977,1.27716,-0.02419,0.0,0.0,0.0,0.0,0.0
20,0.46552,0.5041,0.0,0.0,0.0,0.0,0.0,0.0
21,0.19402,0.51983,0.0,0.0,0.0,0.0,0.0,0.0
22,0.50951,0.6557,0.0,0.0,0.0,0.0,0.0,0.0
23,0.25427,0.98842,0.0,0.0,0.0,0.0,0.0,0.0
24,0.24962,0.55663,0.0,0.0,0.0,0.0,0.0,0.0
25,0.72073,1.16778,-1.15081,0.0,0.86468,0.24885,0.24413,0.0955
26,0.44299,0.81132,0.0,0.0,0.0,0.0,0.0,0.0
27,0.5167,0.96768,-0.29657,0.0,0.0,0.0,0.0,0.0
28,0.39054,0.57172,0.0,0.0,0.0,0.0,0.0,0.0
29,0.45866,1.01691,-0.25754,0.0,0.0,0.0,0.0,0.1358
30,0.56621,1.15103,-0.22605,0.0,0.04818,0.0,0.0,0.0
31,0.43325,0.91414,0.0,0.0,0.0,0.0,0.0,0.0
32,0.45902,0.549,0.0,0.0,0.0,0.0,0.0,0.0
33,0.4354,0.62674,-0.0225,0.0,0.0,0.0,0.0,0.0
34,0.45154,0.65147,0.0,0.0,0.0,0.0,0.0,0.0
35,0.2903,0.76557,0.0,0.0,0.0,0.0,0.0,0.0
36,0.36514,0.55842,0.0,0.0,0.0,0.0,0.0,0.0
37,0.34951,0.61678,0.0,0.0,0.0,0.0,0.0,0.0
38,0.40915,1.37665,-0.70657,0.0,0.54336,0.17072,0.0,0.0
39,0.59198,1.01005,-0.86973,0.57957,0.73371,0.0,0.0,0.00477
40,0.65879,1.31522,-0.3751,0.0,0.35533,0.0,0.0,7e-05
41,0.42042,0.6614,0.0,0.0,0.0,0.0,0.0,0.0
42,0.38051,0.58024,0.0,0.0,0.0,0.0,0.0,0.0
43,0.27446,0.79618,0.0,0.0,0.0,0.0,0.0,0.0
44,0.96686,1.06429,-0.6407,0.0,0.48241,0.0,0.0,-0.01602
45,0.35967,0.896,0.0,0.0,0.0,0.0,0.0,0.0
46,0.34704,0.68205,-0.00624,0.0,0.0,0.0,0.0,0.0
47,0.68006,0.97604,-0.61038,0.0,0.08719,0.34374,-0.14649,-0.11698
48,0.3829,0.62185,0.0,0.0,0.0,0.0,0.0,0.0
49,0.50273,1.19581,-0.4252,0.0,0.6062,-0.10214,0.0,0.02648
