,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY,DWI
0,0.69424,0.98991,-0.7067,0.0,0.64488,0.0,0.01513,0.0
1,0.28078,0.93402,0.0,0.0,0.0,0.0,0.0,0.0
2,0.47897,0.82373,-0.17982,0.0,0.0,0.0,0.0,0.0
3,0.45202,0.61569,-0.15434,0.0,0.0,0.0,0.0,-0.01891
4,0.36642,0.50806,0.0,0.0,0.0,0.0,0.0,0.0
5,0.65725,0.5067,0.0,0.0,0.05445,-0.03153,0.0,0.0
6,0.3763,0.88747,-0.38648,-0.28797,0.47534,-0.06714,0.0,0.02167
7,0.41236,0.77103,0.0,0.0,0.0,0.0,0.0,0.0
8,0.40223,0.98975,0.0,0.0,0.0,0.0,0.0,0.0
9,0.34121,0.51973,0.0,0.0,0.0,0.0,0.0,0.0
10,0.58231,1.3295,-0.59581,0.0,0.59407,0.0,0.0,0.12521
11,0.5533,1.13065,-0.1246,0.0,0.0,0.0,0.0,0.0
12,0.66726,0.97659,-0.53909,0.06581,0.99818,-0.04724,-0.57071,0.05208
13,0.70155,1.14786,-0.34036,0.0,0.36378,0.0,0.0,0.0
14,0.48159,0.84671,-0.0507,0.0,0.0,-0.07181,0.0,0.00859
15,0.53511,0.9564,0.0,0.0,0.0,0.0,0.0,0.0
16,0.53384,0.96976,-0.40112,0.0,0.1381,0.0,-0.03149,-0.06933
17,0.44875,0.79381,0.0,0.0,0.0,0.0,0.0,0.0
18,0.57844,0.97405,-0.3109,0.0,0.0,0.0,0.0,-0.21295
19,0.41978,0.63598,-0.10996,0.0,0.0,0.0,0.0,0.0
20,0.83963,0.94932,-0.86837,0.0,0.62855,0.25322,0.0,0.0
21,0.34801,1.01048,0.0,0.0,0.0,0.0,0.0,0.0
22,0.64704,0.67286,-0.02786,0.0,0.0,0.0,0.0,0.0
23,0.31581,0.93773,0.0,0.0,0.0,0.0,0.0,0.0
24,0.31956,0.67177,0.0,0.0,0.0,0.0,0.0,0.0
25,0.54109,0.78071,0.0,0.0,0.0,0.0,0.0,0.0
26,0.32372,0.63878,0.0,0.0,0.0,0.0,0.0,0.0
27,0.34839,0.67961,-0.05955,0.0,0.0,0.0,0.0,0.0
28,0.62166,0.84098,-0.07422,0.0,0.0,0.0,0.0,0.0
29,0.60135,1.00115,-0.25994,0.0,0.21225,0.0,0.0,-0.04437
30,0.44028,0.84966,0.0,0.0,0.0,0.0,0.0,0.0
31,0.48105,0.70997,-0.37408,0.0,0.08973,0.03329,0.0,0.0
32,0.6148,0.78525,-0.36346,0.0,0.49483,0.0,0.0,0.11976
33,0.53941,0.55193,0.0,0.0,0.0,0.0,0.0,0.0
34,0.43093,0.87389,-0.07074,0.0,0.0,0.0,0.0,0.0
35,0.43975,0.99616,0.0,0.0,0.0,0.0,0.0,0.0
36,0.52026,0.93713,-0.03822,0.0,0.0,0.0,0.0,0.0
37,0.26092,0.58451,0.0,0.0,0.0,0.0,0.0,0.0
38,0.46919,0.90491,-0.20773,0.0,0.0,0.0,0.0,0.0
39,0.57204,0.6376,0.0,0.0,0.0,0.0,0.0,0.0
40,0.60227,1.01377,-0.02618,0.0,0.0,0.0,0.0,0.0
41,0.24214,0.60192,0.0,0.0,0.0,0.0,0.0,0.0
42,0.31082,0.68784,0.0,0.0,0.0,0.0,0.0,0.0
43,0.6643,0.82753,-0.61197,0.0,0.37079,0.0,0.0,0.01951
44,0.5411,0.89768,-0.10554,0.0,0.0,0.0,0.0,0.0
45,0.38612,0.66365,0.0,0.0,0.0,0.0,0.0,0.0
46,0.56178,1.13868,-0.107,0.0,0.0,0.0,0.0,0.0
47,0.49179,1.07872,-0.22267,0.0,0.04734,0.0,0.0,0.0
48,0.50897,0.85471,-0.09752,0.0,0.0,0.0,0.0,0.0
49,0.51972,0.98806,-0.12363,0.0,0.0,-0.00878,0.0,0.0
