,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,-0.01208,-0.01288,0.0,0.00631,0.00328,0.0,0.0154
1,-0.00324,0.0021,-0.00286,0.0,0.00032,0.0,0.01328
2,0.00358,0.00063,0.0,0.00201,-0.0002,0.0,0.01585
3,0.00652,0.00859,0.0,0.0,0.0,-0.00106,0.0
4,-0.00464,-0.03275,0.0,0.00356,-0.00081,0.0,0.01897
5,0.02792,-0.0431,0.00486,0.0,0.01312,-0.00704,0.03208
6,-0.00695,-0.0382,0.00227,0.0,0.00019,-0.00045,0.02363
7,-0.03083,0.00074,-0.01022,0.01126,0.0056,-0.00158,-0.01258
8,0.00919,0.01921,0.0,-0.0021,0.00242,-0.00496,0.00929
9,-0.00867,-0.03128,-0.00437,-0.00385,0.00726,0.00122,0.0178
10,0.01351,-0.00572,-0.0037,0.0,0.0005,-0.00046,0.00738
11,0.00265,-0.00084,0.00515,0.0,-0.00074,0.0,0.01946
12,-0.00288,0.00475,0.0,-0.00366,-0.00023,0.0,0.02513
13,-0.0009,-0.00998,0.0,0.0,0.00038,-0.00062,0.00233
14,0.00046,-0.00871,-0.00249,0.00408,-0.00131,0.00242,0.00177
15,0.00048,-0.03891,0.00086,0.0,-0.00346,0.0,0.00974
16,-0.00972,-0.01825,-0.00316,-0.00108,-0.00277,-0.00022,0.00971
17,0.01383,-0.0153,-0.0012,0.0,-0.00449,0.0,0.01526
18,0.01673,-0.02908,-0.00221,0.00303,0.00137,-0.00173,-0.00576
19,-0.01466,0.01169,0.00046,0.00487,0.00036,-0.00291,0.00069
20,-0.00521,-0.00495,-0.00628,0.0,-0.00032,0.0001,0.0
21,-0.01205,-0.00044,-0.00217,0.0,-0.00055,0.0,0.00826
22,-0.00381,-0.01446,0.00429,0.00089,0.0,0.0,0.01177
23,0.0366,-0.02337,-0.00414,0.0028,-0.00026,-0.00317,0.01088
24,-0.00673,0.00484,0.0,0.0,0.0,0.0,0.0
25,-0.01143,0.00066,0.00147,0.00027,0.00373,0.00107,0.01624
26,0.00396,-0.04291,0.01577,2e-05,0.00251,-0.00079,0.0272
27,0.00174,-0.02563,0.0,0.0,-0.00269,0.0,0.01761
28,-0.00876,-0.03495,0.00119,0.00414,0.0,0.00018,0.01325
29,-0.00227,-0.01759,0.0,-0.0011,-0.00192,-0.00223,0.02638
30,-0.00683,-0.01425,0.0015,0.00037,0.002,0.00037,0.01987
31,-0.00241,-0.01963,0.00125,-0.00066,0.00041,-0.00125,0.012
32,0.00707,0.0105,0.00466,0.0,0.00318,-0.00053,0.0
33,-0.01382,0.03376,0.0,0.0,-0.00323,0.00232,4e-05
34,0.00546,-0.04449,0.00026,0.0,0.00216,0.0,0.02456
35,0.01987,-0.03903,-0.00373,0.00057,-0.00235,-0.00168,0.02735
36,0.00634,0.02135,0.00049,-0.00113,2e-05,0.0,0.0
37,0.00751,-0.02496,0.00836,0.00553,0.00036,0.00093,0.0275
38,0.02205,-0.00082,-0.00898,0.00087,-0.00143,0.0,0.00881
39,0.01734,-0.01214,0.0005,-7e-05,0.00327,-0.00059,0.0165
40,0.02547,0.01029,0.00316,0.0,-0.00238,-0.00054,0.00292
41,0.01218,0.01303,-0.00102,0.0,0.00016,-0.00167,0.0112
42,0.01921,-0.05403,0.01386,0.00387,-0.00103,-0.00781,0.04059
43,0.00066,-0.03851,-0.00196,-5e-05,0.00613,0.0,0.0
44,0.00672,0.01458,-0.00046,0.00164,0.00774,0.0,-0.00152
45,-0.01396,-0.00793,0.00361,0.0,0.0,-0.00113,0.0123
46,-0.01955,-0.04515,-0.00187,0.00728,-9e-05,-0.00101,0.00986
47,0.01395,-0.02905,0.00056,0.0,0.0042,0.0,0.02742
48,-0.00223,-0.00644,0.0,0.0,0.00077,-0.00356,0.0
49,-0.01431,0.0017,-0.0005,0.00423,-0.01301,-0.0028,0.03193
