,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.04962,0.01524,-0.00218,0.0,0.0,0.0,0.0
1,0.02334,0.02912,0.0,0.0,0.0,0.0,0.0
2,0.0,0.01747,0.0,0.0,0.0,0.0,0.0
3,0.01628,0.05469,-0.00025,0.0,0.00397,0.00025,0.0
4,0.02788,-0.02069,0.00036,0.00572,0.00159,0.00503,0.05407
5,0.23974,0.05201,0.01015,0.06493,-0.00501,-0.02562,0.04301
6,0.00392,-0.08629,-0.02966,0.0015,0.00535,-0.00024,0.0
7,-0.00356,-0.04693,0.0,0.0,0.0,0.0,0.0
8,0.00208,0.01009,0.00546,0.0,0.00044,0.00174,0.01843
9,0.04386,-0.04429,0.00011,-0.00423,0.00104,0.01514,0.06438
10,-0.01901,0.03327,-0.00434,0.00816,0.01807,-0.0035,0.00062
11,-0.00101,-0.03773,0.03037,0.0129,0.00291,0.00041,0.0127
12,-0.03303,0.02402,0.00084,-0.00895,-0.00042,0.00461,0.02955
13,0.00339,-0.06218,-0.00067,0.01528,0.0021,-0.00967,0.00887
14,0.20006,0.01633,0.02708,0.01486,0.06384,-0.00545,-0.01201
15,0.02661,-0.01896,0.00064,0.00029,-8e-05,0.00015,0.00233
16,0.00617,0.05817,-0.02069,0.00452,-0.00078,0.0,0.01037
17,0.02516,0.03886,0.00093,-0.00067,0.00697,0.0,0.00259
18,0.12818,0.39288,0.06734,0.02103,0.10026,0.01364,0.02296
19,0.0551,-0.01318,0.0,0.0,0.00759,0.0,0.00475
20,-0.00528,-0.04284,0.00583,0.0,0.00167,0.00127,-0.00779
21,0.03452,0.00979,0.0,0.0,0.0,0.0,0.0
22,0.01831,0.00606,-0.00158,0.0,0.0,0.0,0.00639
23,-0.05939,-0.05068,-0.00558,0.01886,0.02528,0.00294,-0.00719
24,-0.03511,0.00107,0.00165,0.0,-0.00241,0.00197,0.00319
25,0.04023,-0.0553,-0.01354,0.00336,-0.01782,0.0,0.01195
26,0.04583,-0.00658,0.00764,0.0,-0.00182,0.0,0.03133
27,0.00804,-0.03781,0.00245,0.0,0.00081,0.00114,0.00525
28,-0.00478,-0.03592,0.00028,0.0,0.00571,0.0,0.0
29,0.02329,0.03943,-0.00229,-0.00014,0.00178,0.00053,0.0
30,0.14498,0.02306,0.00685,0.0,-8e-05,0.01179,0.00898
31,-0.00715,-0.00693,-0.00066,0.02167,-0.00048,0.00052,0.00253
32,0.0025,0.01031,0.0,0.0,0.0,0.0,0.0
33,-0.07277,0.03594,-0.00355,0.0,0.00594,6e-05,-0.01838
34,-0.01431,-0.01047,0.0,0.0,0.0,0.0,0.0
35,0.02634,-0.01664,0.0,-0.00192,-0.00042,0.0,0.02555
36,0.00387,0.1011,0.02611,-0.00042,-0.01996,0.00706,0.00124
37,-0.00544,-0.01669,-0.00033,0.00803,-0.00185,-0.00039,0.00059
38,0.01247,0.01534,-0.00419,0.0,0.0,0.0,0.0
39,0.02736,0.08328,0.00188,0.00615,0.01042,0.0,0.0
40,-0.02114,0.0266,0.0,0.0,0.0,0.0,-0.00111
41,0.01439,-0.03775,-0.01197,0.0,0.008,0.00201,-0.00102
42,0.17038,-0.01898,0.00157,-8e-05,-0.00107,8e-05,-0.01185
43,0.17081,0.01959,0.03018,0.0,0.01131,0.00579,0.0025
44,0.03504,-0.02412,-0.01875,0.01023,0.00749,0.00491,0.01499
45,-0.03946,0.08103,0.0,0.0023,-0.00385,0.0,0.03535
46,0.0153,-0.00747,0.0,0.0,0.0,0.0,0.0
47,0.09048,0.0859,-0.00578,0.0,0.00703,0.0,0.00215
48,0.0334,-0.08,0.01025,0.01918,0.00068,0.00794,0.01664
49,-0.00154,0.07496,0.00593,0.0,0.01059,0.0,0.0
