,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.89992,1.71871,-1.34843,-0.49029,0.76989,-0.65768,0.0
1,0.20169,0.38832,-0.42164,0.0,0.0,-0.25108,0.0
2,0.93853,1.5897,-1.08531,-1.22642,0.81355,0.0,0.0
3,0.20945,0.41522,-0.38811,0.0,0.0,-0.23077,0.0
4,0.0,1.28415,-1.22268,-1.33184,1.11626,-0.36875,-0.09342
5,4.82595,22.81003,2.2831,-10.39893,7.25826,12.80456,-1.18569
6,0.09124,0.15796,-0.19462,0.0,0.0,-0.10092,0.0
7,3.02708,0.0,-4.12698,2.76015,0.0,1.01238,-3.334
8,0.25121,0.44669,-0.41962,-0.11249,0.0,-0.24409,0.0
9,0.07325,0.14928,-0.1528,0.0,0.0,-0.0592,0.0
10,0.22342,0.44225,-0.43266,0.0,0.0,-0.2605,0.0
11,0.07993,0.19529,-0.18253,-0.00628,0.0,-0.10059,0.0
12,0.10574,0.40389,-0.42984,0.0,0.0,-0.13973,0.0
13,0.13237,0.18114,-0.17655,0.0,0.0,-0.10705,0.0
14,0.21574,0.42494,-0.44825,0.0,0.0,-0.18403,0.0
15,0.51373,0.77979,-1.33354,-0.42989,0.46485,-0.34647,0.0
16,0.57262,1.14611,-1.10138,-0.38515,0.73282,-0.46599,-0.33488
17,0.36314,0.64836,-0.76728,-0.25098,0.0,-0.29063,-0.09543
18,1.01014,1.15324,-1.13364,-0.21816,0.61892,-0.64812,-0.04009
19,1.4306,1.03911,-0.90564,-0.37149,0.46846,-0.59909,-0.14186
20,0.07569,0.16769,-0.18099,0.0,0.0,-0.09542,0.0
21,0.11194,0.20787,-0.1806,0.0,0.0,-0.11034,0.0
22,1.05303,1.33364,-1.0816,-0.55691,0.68669,0.0,0.0
23,0.59241,1.78815,-1.45483,-0.22555,0.48578,-0.31804,0.36845
24,0.9851,0.43672,-1.58057,-0.80137,0.31834,-0.68918,-0.53652
25,0.26,0.59683,-0.98446,0.0,0.0,0.0,0.0
26,-4.98961,4.41039,-6.89164,-5.89504,3.63818,-5.86949,-9.75552
27,0.08049,0.19147,-0.16437,-0.00583,0.0,-0.1196,0.0
28,0.16838,0.47676,-0.38674,0.0,0.0,-0.1733,0.0
29,0.0386,1.00239,-1.095,0.0,0.62418,-0.29636,0.0
30,1.60955,0.07422,-4.28086,-1.77493,1.84055,0.0,0.0
31,0.0,0.4451,-0.69691,-0.81963,0.63234,-0.61395,-0.40551
32,0.08744,0.19088,-0.16535,0.0,0.0,-0.10213,0.0
33,0.22627,1.23674,-0.77873,-0.1252,0.37214,-0.48477,0.0
34,0.51525,2.10993,-1.11019,-1.48017,0.86185,-0.28471,0.0
35,0.2561,0.4764,-0.46577,-0.0657,0.0,-0.26006,0.0
36,0.71257,2.06699,-1.17198,-0.28944,0.0,-1.20359,-0.71671
37,0.08334,0.17092,-0.15314,0.0,0.0,-0.05299,0.0
38,0.59033,1.06675,-0.94893,-0.87255,0.91183,-0.36902,-0.4597
39,0.54843,1.21071,-1.51262,-1.13484,0.39185,-0.52182,0.0
40,0.98781,1.74823,-1.27279,-0.99304,1.24257,-0.89704,-0.68997
41,0.13555,0.32974,-0.42986,0.0,0.0,-0.06167,0.0
42,0.58634,-1.77245,-2.94134,-1.49658,1.7587,-0.94904,-4.3635
43,0.10429,0.15599,-0.18135,0.0,0.0,-0.10727,0.0
44,0.19848,1.0173,-1.16653,-0.69232,1.25443,-0.34633,0.0
45,2.86233,1.46638,-3.27938,-2.20139,1.82549,-0.98701,-2.00046
46,0.10641,0.20421,-0.17431,0.0,0.0,-0.12537,0.0
47,0.44595,1.87032,-1.32051,0.0,0.63997,-0.03067,1.29709
48,0.46996,0.47609,-1.27651,-1.22656,0.27807,-0.24483,0.0
49,0.47483,0.8752,-1.09989,-0.80585,0.6487,-0.41829,0.0
