,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.48364,4.17122,0.0,1.63434,0.64601,0.0,-0.77547
1,-2.59992,12.65091,-10.08218,-17.18056,11.40224,-3.34516,3.41116
2,0.50891,0.98779,-0.35136,0.0,0.38506,0.0,0.0
3,0.31551,0.51485,-0.09652,0.0,0.01353,0.0,0.0
4,1.6384,0.0,-0.66388,0.0,0.91044,0.04946,-1.04647
5,0.37602,0.36345,0.0,0.0,0.0,0.0,0.0
6,1.53069,2.18272,-1.00319,0.0,0.0,0.0,0.0
7,0.65021,0.87208,-0.44887,-0.06479,1.07053,-0.16965,-0.07594
8,0.0,2.83996,-0.50986,0.0,0.67369,0.0,1.41696
9,0.54431,0.72866,-0.47659,0.0,0.0,0.12897,-0.13432
10,0.05133,0.08541,-0.01892,0.01631,0.01498,0.00032,0.00754
11,0.26662,1.89388,-0.62627,-0.45347,0.53818,0.0,0.8115
12,2.2998,1.44258,-0.12747,0.0,0.0,-1.06563,0.0
13,0.35324,0.32022,-0.01699,0.0,0.0,0.0,0.0
14,1.04903,1.64772,-0.5955,0.0,1.14481,0.0,0.72543
15,0.69651,2.08559,-6.57021,-6.2578,0.0,2.26088,-7.2055
16,0.01427,0.02661,-0.00536,0.00552,0.00455,-0.00323,0.00618
17,17.21259,-3.84194,-13.18848,12.14623,11.52336,9.17068,6.39914
18,0.91667,1.20815,-0.8755,0.0,0.83301,-0.04009,0.09941
19,0.23682,0.52216,-0.10243,0.0,0.0,0.0,0.0
20,0.37237,1.13662,-0.65961,0.32464,0.40791,-0.03096,0.23865
21,0.56547,0.8653,-0.2629,0.0,0.0,0.0,0.0
22,0.52641,1.00579,-0.13746,0.0,0.0,0.0,0.0
23,1.08416,2.98068,-2.24025,-1.18188,2.01989,0.94739,0.0
24,0.21035,0.22141,-0.06416,0.01073,0.06142,-0.04318,0.02101
25,0.51676,0.5696,-0.12241,0.0,0.0,0.0,0.0
26,0.05912,0.08389,-0.02403,0.0132,0.00879,-0.00324,0.02134
27,0.29242,0.52676,-0.11891,0.0,0.0,0.0,0.0
28,0.99117,1.47717,-0.81751,0.02245,1.64971,0.0,0.82623
29,13.4607,21.47009,4.36822,14.4625,20.34029,-2.31226,-1.16516
30,0.09303,0.14727,0.0,0.0,0.0,0.0,0.0
31,-17.64282,31.0205,-13.90995,12.97806,2.92651,4.10381,7.50474
32,14.4229,40.92855,-34.93183,1.43687,-4.62043,-7.01405,12.43126
33,0.05852,0.07747,-0.01287,0.01185,0.01493,0.00079,0.01686
34,36.2765,6.82991,-1.45598,-9.06271,11.28186,11.01804,28.05618
35,1.49921,1.97243,0.66901,-0.05035,0.0,0.0,0.9289
36,0.70954,2.76148,-0.09257,0.14143,0.01015,-0.62399,2.19129
37,0.54535,0.77649,-0.3251,0.0,0.0,0.0,0.0
38,0.57577,0.7775,-0.35307,0.0,0.38655,-0.16206,0.0
39,0.08955,1.24075,-0.84451,-0.38181,0.96133,0.01469,0.5133
40,20.41616,26.62292,-0.84928,-5.7645,-7.32465,-10.72174,-3.18723
41,1.10835,0.45239,-1.42131,0.0,0.83447,0.0,0.42029
42,1.12765,0.49253,-0.81138,-0.23477,1.10783,0.24899,0.24827
43,0.70284,1.07778,-1.09007,0.19983,0.48757,0.00901,0.26046
44,0.1851,1.97101,-1.88085,0.0,1.08198,0.0,0.9665
45,0.48045,1.01914,0.0,0.0,0.0,0.0,0.0
46,0.39885,0.49733,-0.20789,0.07633,0.05201,-0.07883,0.1353
47,0.19802,0.50475,0.0,0.0,0.0,0.0,0.0
48,1.14169,0.91,-0.97614,-0.68808,0.37108,0.13352,0.25045
49,1.12781,0.66827,-0.72277,-0.41189,1.75842,-0.58793,0.49291
