,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.62073,1.11392,-1.23335,-0.48398,0.82435,-0.49684,-0.26219
1,0.57135,0.89586,-1.05685,-0.51022,0.57094,-0.64849,-0.15506
2,0.61476,0.90111,-1.2568,-0.78472,0.59487,-0.39489,-0.09421
3,0.61731,1.14799,-0.92164,-0.43319,0.52234,-0.57613,-0.5462
4,0.53909,0.96066,-1.14611,-0.99303,0.82605,-0.58517,-0.09534
5,0.58311,1.06837,-1.21984,-0.22118,0.50241,-0.40224,-0.5943
6,0.57775,0.83163,-1.28777,-0.4949,0.27585,-0.36363,-0.06082
7,0.71804,0.91395,-1.15926,-0.71031,0.45848,-0.42311,-0.2796
8,0.54765,0.94376,-0.95303,-0.59339,0.37796,-0.41254,-0.16382
9,0.66868,1.04728,-1.10207,-0.49764,0.24058,-0.33319,-0.77963
10,0.67557,0.99695,-1.1531,-0.56329,0.30844,-0.51441,-0.01476
11,0.48474,0.99802,-1.26591,-0.61938,0.52039,-0.37867,-0.10534
12,0.5845,0.96434,-1.20244,-0.4684,0.4957,-0.4357,-0.16132
13,0.78096,0.92747,-1.21167,-0.51294,0.44997,-0.44724,-0.11473
14,0.58171,1.02465,-1.26659,-0.9156,0.53898,-0.09826,-0.2054
15,0.63633,0.94294,-1.36201,-0.46554,0.52212,-0.44934,0.00574
16,0.60481,1.146,-1.16163,-0.49146,0.85027,-0.53593,-0.41702
17,0.56322,0.92451,-1.06254,-0.67542,0.33126,-0.33047,-0.42876
18,0.86512,1.05983,-1.20212,-0.33731,0.70079,-0.63971,-0.15373
19,0.69585,0.94176,-1.13641,-0.56339,0.52787,-0.51027,-0.26954
20,0.49788,0.87741,-1.18293,-0.59577,0.52286,-0.36095,-0.21982
21,0.64106,1.1399,-1.20643,-0.52617,0.65237,-0.52676,-0.35854
22,0.79417,1.1582,-1.38545,-0.53904,0.55956,-0.31821,0.02704
23,0.53383,0.88885,-1.41481,-0.41758,0.57281,-0.34791,0.07118
24,0.83218,0.85414,-1.04608,-0.69427,0.49123,-0.61796,-0.36765
25,0.61876,0.94475,-1.14407,-0.55945,0.44127,-0.41919,-0.28809
26,0.59321,1.06097,-1.15677,-0.64496,0.5224,-0.44068,-0.3245
27,0.54657,1.0062,-0.93506,-0.60484,0.35968,-0.63271,-0.24793
28,0.63847,1.25933,-1.07815,-0.57966,0.57586,-0.54303,-0.44748
29,0.47674,0.93934,-1.15506,-0.23392,0.53853,-0.55137,-0.08237
30,0.58445,0.9747,-0.91924,-0.64862,0.47365,-0.4878,-0.41494
31,0.54704,1.05614,-1.18212,-0.26885,0.81515,-0.59582,-0.26774
32,0.54345,1.08237,-1.12516,-0.67149,0.566,-0.37301,-0.36006
33,0.69498,0.95442,-1.13248,-0.63874,0.33835,-0.35901,-0.13992
34,0.60988,1.00055,-1.11146,-0.56662,0.45625,-0.46425,-0.34174
35,0.64175,1.02886,-1.24564,-0.62613,0.57194,-0.57519,-0.0036
36,0.55985,1.0461,-1.13735,-0.20858,0.52472,-0.67594,-0.33119
37,0.66044,1.06791,-1.20546,-0.53408,0.32699,-0.20863,-0.38977
38,0.61852,0.94656,-1.03941,-0.54325,0.69018,-0.64264,-0.51157
39,0.47705,0.8817,-1.23609,-0.47909,0.75214,-0.41657,-0.20539
40,0.79586,1.0189,-1.19389,-0.41131,0.81817,-0.53979,-0.64175
41,0.69937,0.97063,-1.23681,-0.6771,0.68741,-0.37476,-0.41364
42,0.64692,0.82753,-1.15255,-0.38469,0.80295,-0.71261,-0.17099
43,0.66569,0.864,-1.14875,-0.47445,0.40153,-0.47689,-0.32882
44,0.49882,0.91934,-1.27879,-0.64809,0.75033,-0.49471,0.03189
45,0.70032,0.99966,-1.20021,-0.48051,0.57977,-0.47612,-0.39802
46,0.58595,1.03995,-1.07797,-0.28041,0.43517,-0.73953,0.01305
47,0.54119,1.23007,-1.38634,-0.44544,0.36358,-0.44961,-0.18991
48,0.61604,0.96961,-1.1625,-0.97551,0.63741,-0.42883,-0.1892
49,0.62486,0.94339,-1.18003,-0.84135,0.75355,-0.58946,-0.0466
