,DG_AG,AD_NIH,DG_SEX,CH,RF_DM,RF_HC,AT_LY
0,0.40372,0.59982,0.0,0.0,0.0,0.0,0.0
1,0.4554,0.80773,-0.1919,0.0,0.0,0.0,0.0
2,0.58719,1.2219,-0.47148,0.0,0.56587,0.0,0.0
3,0.33612,0.71914,0.0,0.0,0.0,0.0,0.0
4,0.57607,0.89489,-0.59931,-0.08055,0.76178,-0.09354,-0.02139
5,0.6695,0.6309,-0.21929,0.0,0.0,0.0,0.0
6,0.35152,0.54042,-0.05089,0.0,0.0,0.0,0.0
7,0.54247,0.64629,-0.36287,0.0,0.51924,-0.02323,0.0
8,0.48429,0.99073,-0.24789,0.0,0.01266,0.0,0.06036
9,0.64363,0.86283,-0.63246,0.0,0.0,0.20111,-0.2154
10,0.53725,0.93284,-0.29528,0.0,0.0,0.0,0.0
11,0.30839,0.76199,-0.26821,0.0,0.0,0.0,0.0
12,0.79502,0.7917,-0.50855,0.03716,0.6437,-0.29174,0.20382
13,0.48491,0.41204,-0.01356,0.0,0.0,0.0,0.0
14,0.77251,1.34125,-0.53489,0.0,0.69548,0.0,0.20981
15,0.58799,0.68286,-0.34701,0.0,0.0,0.0,0.0
16,0.62552,1.22056,-0.52459,0.27739,0.75309,-0.25131,0.01336
17,0.46952,0.86731,-0.53543,0.0,0.62769,0.0,0.0
18,0.93267,1.20483,-0.8344,0.0,0.87456,-0.03724,0.0851
19,0.36753,0.91667,-0.28374,0.0,0.0,0.0,0.0
20,0.36856,1.24899,-0.79633,0.38314,0.50264,0.0,0.24289
21,0.61241,0.92949,-0.26635,0.0,0.0,0.0,0.0
22,0.5218,1.07807,-0.08831,0.0,0.0,0.0,0.0
23,0.70605,0.71453,-0.78581,-0.47654,0.79798,0.0,0.57121
24,0.78824,0.96502,-0.35284,-0.27137,0.91342,-0.45377,-0.15489
25,0.55819,0.62862,-0.18527,0.0,0.0,0.0,0.0
26,0.51853,0.86707,-0.34454,0.0,0.0,0.0,0.0
27,0.48432,0.88741,-0.24606,0.0,0.0,0.0,0.0
28,0.54352,1.29595,-0.31966,0.0,0.0424,0.0,0.0
29,0.60392,0.79358,-0.66536,0.0,0.58361,0.0,0.0
30,0.54659,0.70077,0.0,0.0,0.0,0.0,0.0
31,0.33621,0.74827,0.0,0.0,0.0,0.0,0.0
32,0.26077,0.46936,0.0,0.0,0.0,0.0,0.0
33,0.56702,0.75437,-0.27392,0.0,0.0,0.0,0.0
34,0.52289,1.04333,-0.44812,0.0,0.02229,0.0,0.0
35,0.41943,0.5501,0.0,0.0,0.0,0.0,0.0
36,0.43087,1.04635,-0.17137,0.0,0.0,0.0,0.0
37,0.63331,0.88452,-0.39512,0.0,0.0,0.0,0.0
38,0.65173,0.93065,-0.46332,0.0,0.63339,-0.22586,0.0
39,0.4441,1.06316,-0.63459,0.0,0.56595,0.0,0.0
40,0.69984,0.84104,-0.37268,0.0,0.0,0.0,0.0
41,0.44575,0.84444,-0.18723,0.0,0.0,0.0,0.0
42,0.79719,0.53222,-0.59195,0.0,0.83146,0.05583,0.02154
43,0.56513,0.91303,-0.33892,0.0,0.0,0.0,0.0
44,0.56401,1.01063,-1.11103,-0.11327,0.90685,0.10794,0.70278
45,0.35323,0.85869,0.0,0.0,0.0,0.0,0.0
46,0.57205,0.75779,-0.19113,0.0,0.0,0.0,0.0
47,0.34149,0.77523,0.0,0.0,0.0,0.0,0.0
48,0.69721,0.80402,-0.47035,-0.30432,0.15347,0.12041,0.0
49,0.62663,0.93382,-0.82807,-0.46702,1.2855,-0.23691,0.57737
